Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus,Day,Start_Time,Time_Blocks,Session_ID
Moray House School of Education and Sport,REDU11083,E:C99SMN1JBC-00001,Lecture,50,180.0,Wednesday 12:00,1,27,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Wednesday,12:00,1,E:C99SMN1JBC-00001_W27
Moray House School of Education and Sport,REDU11083,E:C99SMN1JBC,Lecture,50,180.0,Tuesday 13:00,3,18,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,1,E:C99SMN1JBC_W18
Moray House School of Education and Sport,REDU11083,E:C99SMN1JBC,Lecture,50,180.0,Tuesday 13:00,3,17,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,13:00,1,E:C99SMN1JBC_W17
School of Health in Social Science,CLPS11052,E:KQZQ5NAAWV,Lecture,90,180.0,Tuesday 10:00,6,27,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,10:00,2,E:KQZQ5NAAWV_W27
School of Health in Social Science,CLPS11052,E:KQZQ5NAAWV,Lecture,90,180.0,Tuesday 10:00,6,36,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,10:00,2,E:KQZQ5NAAWV_W36
School of Health in Social Science,CLPS11052,E:KQZQ5NAAWV,Lecture,90,180.0,Tuesday 10:00,6,34,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,10:00,2,E:KQZQ5NAAWV_W34
School of Health in Social Science,CLPS11052,E:KQZQ5NAAWV,Lecture,90,180.0,Tuesday 10:00,6,32,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,10:00,2,E:KQZQ5NAAWV_W32
School of Health in Social Science,CLPS11052,E:KQZQ5NAAWV,Lecture,90,180.0,Tuesday 10:00,6,29,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Tuesday,10:00,2,E:KQZQ5NAAWV_W29
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,27,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W27
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,28,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W28
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY-00001,Lecture,50,160.0,Monday 15:00,11,32,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Monday,15:00,1,E:MS529ZZJSY-00001_W32
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,32,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W32
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,28,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W28
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,36,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W36
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,37,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W37
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,29,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W29
Moray House School of Education and Sport,SPRT08022,E:MS529ZZJSY,Lecture,110,160.0,Friday 11:00,11,30,0551_00_G1,Centrally Allocated Space,General Teaching,Patersons Land,Holyrood,Friday,11:00,2,E:MS529ZZJSY_W30
