,Module Department,Module Code,Event ID,Event Type,Duration (minutes),Event Size,Timeslot,Number of Weeks,Weeks,Room,Room Type 1,Room type 2,Building,Campus
27,Business School,BUST08027_SV1_SEM2_2024/5,E:9VLC1Y72DW,Tutorial,110,12.0,Wednesday 09:00,5,"27, 28, 29, 30, 32",0254_01_1.07,Centrally Allocated Space,General Teaching,24 Buccleuch Place,Central
28,Business School,BUST10067_SV1_SEM2_2024/5,E:3ATFL2BEQV,Lecture,110,147.0,Monday 14:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0226_00_GF.14,Locally Allocated Space,General Teaching,Business School,Central
29,Business School,BUST08033_SV1_SEM1_2024/5,E:APM2M8UCB2,Lecture,50,200.0,Tuesday 13:00,10,"9, 10, 11, 12, 13, 15, 16, 17, 18, 19",0227_00_G.03,Centrally Allocated Space,General Teaching,50 George Square,Central
30,Business School,BUST10166_SV1_SEM2_2024/5,E:6NHWP9OMEF,Lecture,50,80.0,Tuesday 17:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0131_04_4.07,Centrally Allocated Space,General Teaching,13-15 South College Street,Central
31,Business School,ACCN10010_SV1_SEM2_2024/5,E:N9V1RDYI7V,Lecture,110,90.0,Thursday 12:00,10,"26, 27, 28, 29, 30, 32, 33, 34, 35, 36",0001_00_G.159,Centrally Allocated Space,General Teaching,Old College,Central
32,Business School,BUST08030_SS1_SEM1_2024/5,E:4731HA5XUZ,Tutorial,110,12.0,Thursday 13:00,4,"11, 13, 16, 18",0227_00_G.05,Centrally Allocated Space,General Teaching,50 George Square,Central
33,Business School,BUST08030_SS1_SEM1_2024/5,E:5TAKAOI36Q,Tutorial,110,12.0,Wednesday 13:00,4,"12, 15, 17, 19",0003_01_1.05,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
34,Business School,ACCN10029_SV1_SEM1_2024/5,E:SZR6U5ZDL7,Tutorial,50,16.0,Wednesday 12:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0201_00_G.05,Centrally Allocated Space,General Teaching,Appleton Tower,Central
35,Business School,CMSE11458_SS1_SB3_2024/5,E:XV4OBV8ARH,Lecture,110,70.0,Monday 16:00,4,"26, 27, 29, 30",0226_-1_LG.19,Locally Allocated Space,General Teaching,Business School,Central
36,Business School,ACCN08012_SV1_SEM1_2024/5,E:T7NW9NU2R7,Tutorial,50,16.0,Wednesday 16:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0008_02_2.365,Centrally Allocated Space,General Teaching,Minto House,Central
37,Business School,CMSE11490_SS1_SEM2_2024/5,E:IT6GQHICU1,Lecture,110,40.0,Thursday 09:00,8,"26, 27, 29, 32, 33, 34, 35, 36",0226_-1_LG.18,Locally Allocated Space,General Teaching,Business School,Central
38,Business School,BUST08040_SS1_SEM2_2024/5,E:K1LAFFSPL6,Tutorial,110,25.0,Wednesday 13:00,8,"28, 29, 30, 32, 33, 34, 35, 36",0335_02_2.1,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
39,Business School,BUST08027_SV1_SEM2_2024/5,E:NM7Y8JAB8Y,Tutorial,110,12.0,Friday 11:00,5,"27, 28, 29, 30, 32",0113_01M_01M.20,Centrally Allocated Space,General Teaching,"Medical School, Teviot",Central
40,Business School,CMSE11431_SS1_SEM1_2024/5,E:EBCT2AABHB,Computer Workshop,110,50.0,Friday 09:00,2,"12, 15",0226_-1_LG.18,Locally Allocated Space,General Teaching,Business School,Central
41,Business School,BUST08027_SV1_SEM2_2024/5,E:KWZSQI1QFR,Tutorial,110,12.0,Friday 09:00,5,"27, 28, 29, 30, 32",0450_03_3.62,Locally Allocated Space,General Teaching,Edinburgh Futures Institute (EFI),Central
42,Business School,CMSE11579_SS1_SB4_2024/5,E:2R9N1B6AZQ,Seminar,180,45.0,Friday 09:00,5,"32, 33, 34, 35, 36",0226_-1_LG.18,Locally Allocated Space,General Teaching,Business School,Central
44,Business School,ACCN08009_SV1_SEM1_2024/5,E:8HLZEZ5B49,Tutorial,50,13.0,Tuesday 16:00,9,"10, 11, 12, 13, 15, 16, 17, 18, 19",0335_02_2.2,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
45,Business School,ACCN08007_SS1_SEM1_2024/5,E:6B12X6EAZE,Tutorial,50,17.0,Monday 16:00,9,"10, 11, 12, 13, 15, 16, 17, 18, 19",0335_01_1.2,Centrally Allocated Space,General Teaching,Lister Learning and Teaching Centre,Central
46,Business School,BUST08035_SS1_SEM1_2024/5,E:G18PKMB4H3,Tutorial,50,18.0,Thursday 09:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0003_01_1.04,Centrally Allocated Space,General Teaching,7-8 Chambers Street,Central
47,Business School,CMSE11571_SS1_SB1_2024/5,E:AARCNYGD1Y,Seminar,50,65.0,Friday 11:00,5,"9, 10, 11, 12, 13",0226_-1_LG.14,Locally Allocated Space,General Teaching,Business School,Central
49,Business School,BUST08005_SV1_SEM1_2024/5,E:HM8FLCOMT6,Tutorial,50,16.0,Tuesday 16:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0252_01_1.2,Centrally Allocated Space,General Teaching,22 Buccleuch Place,Central
50,Business School,CMSE11432_SS1_SB1_2024/5,E:D5IOE3EVAV,Lecture,110,125.0,Thursday 13:00,5,"9, 10, 11, 12, 13",0226_00_GF.14,Locally Allocated Space,General Teaching,Business School,Central
51,Business School,BUST08051_SV1_SEM1_2024/5,E:JELOTYI94V,Tutorial,110,24.0,Friday 09:00,8,"11, 12, 13, 15, 16, 17, 18, 19",0251_01_1.02,Centrally Allocated Space,General Teaching,21 Buccleuch Place,Central
