scenario,day,start_min,end_min,unassigned_events
central_plus_new_college,Tuesday,780.0,860.0,7
central_plus_new_college,Thursday,600.0,690.0,6
central_plus_new_college,Thursday,600.0,780.0,6
central_plus_new_college,Tuesday,540.0,780.0,6
central_plus_new_college,Tuesday,600.0,720.0,6
central_plus_new_college,Wednesday,630.0,750.0,6
central_plus_new_college,Wednesday,660.0,710.0,6
central_plus_new_college,Wednesday,660.0,740.0,6
central_plus_new_college,Monday,840.0,920.0,5
central_plus_new_college,Monday,840.0,950.0,5
central_plus_new_college,Thursday,660.0,750.0,5
central_plus_new_college,Tuesday,540.0,1080.0,5
central_plus_new_college,Tuesday,660.0,710.0,5
central_plus_new_college,Tuesday,870.0,960.0,5
central_plus_new_college,Wednesday,660.0,750.0,5
central_plus_new_college,Thursday,600.0,650.0,4
central_plus_new_college,Thursday,660.0,710.0,4
central_plus_new_college,Thursday,660.0,740.0,4
central_plus_new_college,Thursday,690.0,750.0,4
central_plus_new_college,Thursday,840.0,930.0,4
central_plus_new_college,Wednesday,540.0,640.0,4
central_plus_new_college,Monday,870.0,960.0,3
central_plus_new_college,Thursday,690.0,780.0,3
central_plus_new_college,Tuesday,540.0,640.0,3
central_plus_new_college,Tuesday,600.0,750.0,3
central_plus_new_college,Tuesday,600.0,780.0,3
central_plus_new_college,Tuesday,600.0,1200.0,3
central_plus_new_college,Wednesday,540.0,620.0,3
central_plus_new_college,Friday,600.0,720.0,2
central_plus_new_college,Monday,780.0,860.0,2
central_plus_new_college,Thursday,540.0,620.0,2
central_plus_new_college,Thursday,540.0,720.0,2
central_plus_new_college,Thursday,600.0,680.0,2
central_plus_new_college,Thursday,600.0,750.0,2
central_plus_new_college,Tuesday,540.0,650.0,2
central_plus_new_college,Tuesday,540.0,720.0,2
central_plus_new_college,Tuesday,600.0,710.0,2
central_plus_new_college,Tuesday,660.0,740.0,2
central_plus_new_college,Tuesday,840.0,890.0,2
central_plus_new_college,Tuesday,840.0,930.0,2
central_plus_new_college,Tuesday,840.0,980.0,2
central_plus_new_college,Wednesday,600.0,780.0,2
central_plus_new_college,Friday,540.0,640.0,1
central_plus_new_college,Monday,600.0,720.0,1
central_plus_new_college,Monday,660.0,740.0,1
central_plus_new_college,Monday,660.0,770.0,1
central_plus_new_college,Monday,780.0,890.0,1
central_plus_new_college,Monday,840.0,890.0,1
central_plus_new_college,Thursday,540.0,630.0,1
central_plus_new_college,Thursday,540.0,650.0,1
central_plus_new_college,Thursday,540.0,710.0,1
central_plus_new_college,Thursday,540.0,1020.0,1
central_plus_new_college,Thursday,690.0,770.0,1
central_plus_new_college,Thursday,780.0,870.0,1
central_plus_new_college,Thursday,840.0,940.0,1
central_plus_new_college,Thursday,900.0,980.0,1
central_plus_new_college,Tuesday,660.0,830.0,1
central_plus_new_college,Tuesday,690.0,780.0,1
central_plus_new_college,Tuesday,780.0,890.0,1
central_plus_new_college,Tuesday,810.0,960.0,1
central_plus_new_college,Tuesday,840.0,1010.0,1
central_plus_new_college,Tuesday,900.0,950.0,1
central_plus_new_college,Wednesday,540.0,720.0,1
central_plus_new_college,Wednesday,600.0,650.0,1
