scenario,day,campus_from,campus_to,conflict_count
central_plus_both_shift120_crossday,Thursday,Holyrood,Lauriston,2
central_plus_both_shift120_crossday,Tuesday,Holyrood,King's Buildings,2
central_plus_both_shift120_crossday,Tuesday,King's Buildings,Bioquarter,2
central_plus_both_shift120_crossday,Tuesday,King's Buildings,Holyrood,2
central_plus_both_shift120_crossday,Wednesday,New College,Bioquarter,2
central_plus_both_shift120_crossday,Friday,Holyrood,King's Buildings,1
central_plus_both_shift120_crossday,Friday,New College,Bioquarter,1
central_plus_both_shift120_crossday,Monday,King's Buildings,Bioquarter,1
central_plus_both_shift120_crossday,Monday,King's Buildings,Holyrood,1
central_plus_both_shift120_crossday,Thursday,Bioquarter,Western General,1
central_plus_both_shift120_crossday,Thursday,Holyrood,New College,1
central_plus_both_shift120_crossday,Tuesday,Holyrood,Lauriston,1
central_plus_both_shift60,Monday,King's Buildings,Central,2783
central_plus_both_shift60,Tuesday,King's Buildings,Central,2772
central_plus_both_shift60,Thursday,King's Buildings,Central,2759
central_plus_both_shift60,Monday,Central,King's Buildings,2579
central_plus_both_shift60,Friday,King's Buildings,Central,2552
central_plus_both_shift60,Tuesday,Central,King's Buildings,2478
central_plus_both_shift60,Thursday,Central,King's Buildings,2408
central_plus_both_shift60,Friday,Central,King's Buildings,2403
central_plus_both_shift60,Thursday,New College,Central,2259
central_plus_both_shift60,Thursday,Central,New College,2015
central_plus_both_shift60,Wednesday,King's Buildings,Central,1976
central_plus_both_shift60,Wednesday,Central,King's Buildings,1822
central_plus_both_shift60,Tuesday,Central,New College,1455
central_plus_both_shift60,Monday,Central,New College,1454
central_plus_both_shift60,Thursday,Central,Lauriston,1328
central_plus_both_shift60,Thursday,Lauriston,Central,1311
central_plus_both_shift60,Monday,New College,Central,1292
central_plus_both_shift60,Tuesday,New College,Central,1251
central_plus_both_shift60,Tuesday,Central,Lauriston,1112
central_plus_both_shift60,Tuesday,Lauriston,Central,1103
central_plus_both_shift60,Friday,Central,New College,1016
central_plus_both_shift60,Friday,New College,Central,1007
central_plus_both_shift60,Wednesday,Lauriston,Central,907
central_plus_both_shift60,Monday,Lauriston,Central,719
central_plus_both_shift60,Wednesday,Central,Lauriston,701
central_plus_both_shift60,Monday,Central,Lauriston,652
central_plus_both_shift60,Friday,Lauriston,Central,470
central_plus_both_shift60,Friday,Central,Lauriston,415
central_plus_both_shift60,Wednesday,New College,Central,360
central_plus_both_shift60,Wednesday,Central,New College,300
central_plus_both_shift60,Monday,New College,King's Buildings,189
central_plus_both_shift60,Thursday,Central,Holyrood,177
central_plus_both_shift60,Thursday,King's Buildings,New College,136
central_plus_both_shift60,Tuesday,New College,King's Buildings,126
central_plus_both_shift60,Thursday,New College,King's Buildings,115
central_plus_both_shift60,Monday,King's Buildings,New College,94
central_plus_both_shift60,Thursday,Holyrood,Central,93
central_plus_both_shift60,Thursday,New College,Lauriston,83
central_plus_both_shift60,Tuesday,Lauriston,New College,83
central_plus_both_shift60,Thursday,King's Buildings,Lauriston,69
central_plus_both_shift60,Thursday,Lauriston,New College,68
central_plus_both_shift60,Tuesday,New College,Lauriston,66
central_plus_both_shift60,Tuesday,King's Buildings,New College,58
central_plus_both_shift60,Friday,New College,King's Buildings,53
central_plus_both_shift60,Monday,Central,Bioquarter,53
central_plus_both_shift60,Tuesday,Lauriston,King's Buildings,53
central_plus_both_shift60,Thursday,Lauriston,King's Buildings,52
central_plus_both_shift60,Tuesday,Central,Bioquarter,50
central_plus_both_shift60,Monday,Holyrood,Central,48
central_plus_both_shift60,Tuesday,Central,Holyrood,46
central_plus_both_shift60,Tuesday,Holyrood,Central,46
central_plus_both_shift60,Monday,New College,Lauriston,45
central_plus_both_shift60,Friday,Bioquarter,Central,44
central_plus_both_shift60,Friday,King's Buildings,New College,44
central_plus_both_shift60,Monday,Bioquarter,Central,44
central_plus_both_shift60,Wednesday,New College,King's Buildings,43
central_plus_both_shift60,Tuesday,King's Buildings,Lauriston,41
central_plus_both_shift60,Tuesday,Bioquarter,Central,38
central_plus_both_shift60,Thursday,Bioquarter,Central,37
central_plus_both_shift60,Friday,New College,Lauriston,35
central_plus_both_shift60,Wednesday,King's Buildings,Lauriston,35
central_plus_both_shift60,Wednesday,Central,Holyrood,32
central_plus_both_shift60,Wednesday,Holyrood,Central,32
central_plus_both_shift60,Wednesday,King's Buildings,New College,31
central_plus_both_shift60,Thursday,Bioquarter,King's Buildings,30
central_plus_both_shift60,Thursday,Central,Bioquarter,30
central_plus_both_shift60,Monday,Lauriston,New College,26
central_plus_both_shift60,Wednesday,Central,Bioquarter,26
central_plus_both_shift60,Friday,Central,Bioquarter,24
central_plus_both_shift60,Monday,Lauriston,King's Buildings,24
central_plus_both_shift60,Wednesday,Lauriston,King's Buildings,20
central_plus_both_shift60,Wednesday,New College,Lauriston,20
central_plus_both_shift60,Monday,Central,Holyrood,18
central_plus_both_shift60,Thursday,Lauriston,Holyrood,17
central_plus_both_shift60,Friday,Holyrood,Central,16
central_plus_both_shift60,Monday,King's Buildings,Lauriston,15
central_plus_both_shift60,Friday,King's Buildings,Lauriston,13
central_plus_both_shift60,Friday,Lauriston,King's Buildings,13
central_plus_both_shift60,Thursday,King's Buildings,Bioquarter,13
central_plus_both_shift60,Tuesday,Lauriston,Holyrood,12
central_plus_both_shift60,Wednesday,Bioquarter,Central,12
central_plus_both_shift60,Friday,Lauriston,New College,10
central_plus_both_shift60,Wednesday,Lauriston,New College,10
central_plus_both_shift60,Friday,Bioquarter,New College,9
central_plus_both_shift60,Thursday,Bioquarter,New College,9
central_plus_both_shift60,Wednesday,Lauriston,Holyrood,8
central_plus_both_shift60,Friday,Central,Holyrood,7
central_plus_both_shift60,Friday,King's Buildings,Holyrood,6
central_plus_both_shift60,Tuesday,New College,Holyrood,6
central_plus_both_shift60,Monday,Holyrood,Lauriston,5
central_plus_both_shift60,Tuesday,Bioquarter,King's Buildings,5
central_plus_both_shift60,Wednesday,King's Buildings,Bioquarter,5
central_plus_both_shift60,Friday,Lauriston,Holyrood,2
central_plus_both_shift60,Thursday,Holyrood,Lauriston,2
central_plus_both_shift60,Tuesday,Holyrood,King's Buildings,2
central_plus_both_shift60,Tuesday,King's Buildings,Bioquarter,2
central_plus_both_shift60,Tuesday,King's Buildings,Holyrood,2
central_plus_both_shift60,Wednesday,New College,Bioquarter,2
central_plus_both_shift60,Friday,Holyrood,King's Buildings,1
central_plus_both_shift60,Friday,New College,Bioquarter,1
central_plus_both_shift60,Monday,King's Buildings,Bioquarter,1
central_plus_both_shift60,Monday,King's Buildings,Holyrood,1
